userId;Aventura;Fantasía;Animación;Drama;Terror;Acción;Comedia;Historica;Oeste;Suspense;Crimen;Documental;Ciencia ficción;Misterio;Musical;Romance;Familiar;Guerra;Extranjera;TV
1;0,0;0,0;0,0;75,0;0,0;0,0;100,0;25,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0
2;61,60714285714285;53,57142857142857;71,42857142857143;72,61904761904762;100,0;71,42857142857143;56,696428571428555;0,0;0,0;62,14285714285713;62,499999999999986;42,857142857142854;54,46428571428571;41,66666666666667;42,857142857142854;71,42857142857142;51,78571428571429;0,0;0,0;0,0
3;18,823529411764707;18,823529411764707;0,0;43,69747899159664;47,05882352941176;20,588235294117645;100,0;0,0;0,0;33,333333333333336;26,47058823529412;0,0;18,823529411764707;26,47058823529412;0,0;0,0;18,823529411764707;0,0;0,0;18,823529411764707
4;49,891540130151846;51,800433839479396;32,53796095444686;81,57731639293463;61,63619460799505;50,180766449746926;100,0;63,44902386117137;0,0;48,75035367348865;59,06891373268813;0,0;50,95945269481062;59,110629067245135;78,09110629067246;60,32037376939763;39,04555314533623;55,31453362255966;32,53796095444686;0,0
5;45,09803921568628;66,27450980392156;0,0;92,54901960784314;91,24183006535948;60,0;82,56684491978609;62,745098039215684;100,0;72,64705882352942;82,74509803921569;98,03921568627452;60,915032679738566;71,89542483660131;94,11764705882352;69,80392156862746;54,90196078431373;0,0;94,11764705882352;0,0
6;20,833333333333332;16,666666666666664;0,0;52,19907407407407;0,0;25,0;19,010416666666664;0,0;100,0;25,0;25,0;50,0;33,33333333333333;0,0;0,0;40,625;9,375;0,0;0,0;9,375
7;53,333333333333336;48,88888888888888;0,0;83,125;84,44444444444444;51,11111111111111;30,0;100,0;0,0;75,55555555555557;53,333333333333336;0,0;60,0;61,66666666666667;35,0;47,77777777777777;53,333333333333336;0,0;0,0;0,0
8;43,76899696048633;0,0;49,24012158054712;100,0;98,48024316109424;49,54407294832827;88,90577507598786;0,0;51,06382978723405;60,48632218844986;74,77203647416415;0,0;53,799392097264445;51,06382978723405;87,53799392097265;67,47720364741643;43,76899696048633;0,0;0,0;0,0
9;34,375;35,416666666666664;0,0;54,16666666666665;33,33333333333333;32,916666666666664;42,91666666666667;0,0;0,0;36,666666666666664;38,888888888888886;100,0;35,41666666666667;31,944444444444443;50,0;33,33333333333333;0,0;0,0;0,0;0,0
10;35,0;20,0;0,0;57,49999999999999;100,0;35,0;35,0;40,0;0,0;0,0;40,0;0,0;50,0;70,0;0,0;0,0;20,0;0,0;0,0;0,0
11;0,0;0,0;0,0;26,666666666666668;100,0;30,0;0,0;23,333333333333332;0,0;30,0;30,0;0,0;33,333333333333336;0,0;0,0;0,0;0,0;23,333333333333332;0,0;0,0
12;25,0;16,666666666666664;50,0;75,0;0,0;29,166666666666664;37,5;0,0;0,0;33,33333333333333;0,0;0,0;25,0;0,0;100,0;50,0;16,666666666666664;0,0;0,0;0,0
